CPF,Renda mensal,Taxa de inadimplência (bureau),Gasto médio por visita
757.370.537-92,"9457,54","0,0000","198,85"
223.138.184-20,"9201,70","0,0000","107,97"
156.336.345-35,"8501,44","0,0000","127,51"
728.784.074-07,"9746,20","0,0000","188,11"
332.521.270-08,"9816,40","0,0000","110,50"
268.847.256-99,"8682,57","0,0000","107,35"
144.882.686-17,"9652,02","0,0000","109,08"
616.466.072-60,"8430,64","0,0000","122,41"
532.223.338-58,"9073,40","0,0000","193,80"
184.223.285-18,"8049,07","0,0000","177,17"
260.207.306-70,"9631,20","0,0000","144,14"
387.284.150-51,"9822,31",0,"175,66"
045.624.081-03,"9342,80",0,"193,09"
520.146.821-78,"9331,41",0,"142,85"
656.585.832-25,"9208,10",0,"141,65"
611.187.576-02,"8286,14",0,"138,51"
610.387.052-66,"9890,81",0,"170,52"
873.447.145-66,"8861,77",0,"114,36"
030.008.630-01,"8627,24",0,"111,13"
503.356.576-13,"8138,66",0,"161,19"
772.013.517-29,"8992,10",0,"191,52"
668.685.008-07,"9175,28",0,"182,69"
072.507.034-04,"9246,62",0,"167,83"
465.758.023-03,"9477,50",0,"158,30"
275.563.213-55,"8792,10",0,"178,31"
772.250.622-47,"9409,47",0,"149,75"
278.644.630-96,"9207,78",0,"191,29"
886.257.025-20,"9208,36",0,"145,67"
864.554.748-13,"9700,55",0,"152,12"
153.820.828-80,"8530,55",0,"183,30"
136.034.418-77,"9054,81",0,"198,75"
740.315.687-03,"8216,48",0,"196,44"
873.084.386-35,"9640,63",0,"104,34"
511.357.251-95,"8592,44",0,"199,51"
353.388.665-44,"8299,61",0,"103,09"
178.851.565-08,"8037,51",0,"166,36"
326.082.667-03,"9339,21",0,"159,36"
565.006.283-81,"9673,43",0,"115,02"
706.100.460-63,"9072,97",0,"187,16"
734.445.511-00,"9353,58",0,"179,03"
746.845.216-48,"9767,73",0,"118,14"
203.811.041-76,"8137,64","230,2987501","177,41"
281.374.470-08,"8206,23","281,4856694","141,26"
710.475.006-12,"8173,59","201,1125236","180,45"
412.813.054-05,"9829,38","258,467871","100,17"
317.315.435-57,"9432,65","270,4660625","178,64"
252.377.853-01,"8356,12","280,6407467","178,34"
155.848.636-45,"9652,15","297,9126443","169,51"
702.184.588-00,"9437,29",0,"133,91"
740.361.453-47,"9761,82",0,"179,47"
065.003.653-05,"8114,89","0,0325141894","163,00"
226.771.772-77,"8160,34","0,7460984111","185,82"
067.572.146-60,"9239,56","0,7019076685","180,73"
334.714.348-52,"9659,18","0,128265168","124,52"
837.465.856-86,"8441,04","0,126667222","164,53"
102.500.756-52,"9441,52","0,8758785622","189,77"
211.136.472-05,"9420,87","0,5454002483","116,22"
450.857.047-03,"8746,72","0,2235199037","107,35"
138.183.207-56,"8200,57","0,8024033269","171,56"
124.545.288-60,"8469,23","0,1263136075","101,03"
757.450.375-39,"8246,85","0,6177199855","133,62"
856.503.374-03,"8768,37","0,813688395","153,08"
707.328.851-59,"9126,52","0,5695842788","186,82"
886.862.615-23,"8969,44","0,944697208","170,88"
751.463.246-89,"8316,02","0,074868006","179,39"
377.208.174-60,"9371,96","0,03704405881","121,73"
500.485.077-17,"8084,49","0,14192312","153,72"
271.027.815-47,"9477,96","0,4229324726","151,87"
334.858.575-99,"8845,50","0,9471310205","178,25"
834.416.682-94,"8049,79","0,9774997865","100,03"
630.155.546-54,"10174,59","0,696264241","153,71"
101.054.364-45,"10274,25","0,966221594","193,48"
174.427.658-74,"11740,75","0,3847852929","155,97"
663.612.711-29,"10150,64","0,1531757726","141,49"
307.527.417-80,"11905,04","0,09342741322","152,97"
832.587.678-66,"11566,31","0,5299863826","136,74"
827.388.086-97,"11685,44","0,2384267331","122,51"
881.447.414-12,"10940,06","0,7837845858","134,85"
801.625.436-54,"11440,66","0,6468280066","170,42"
141.833.071-04,"11896,89","0,6804207876","102,48"
445.820.653-25,"10036,92","0,6192215739","134,70"
336.804.443-54,"11313,26","0,5458481968","129,93"
481.400.355-21,"10759,03","0,9635623202","184,79"
148.336.034-20,"10899,50","0,7741164775","168,09"
845.138.346-76,"10923,71","0,7884729168","118,43"
706.710.148-46,"11954,02","0,9554262104","126,11"
481.674.333-23,"10440,25","0,1023729477","198,23"
146.718.505-16,"10253,34","0,6234909924","105,82"
835.652.756-26,"11615,34","0,7112509267","193,35"
557.857.073-90,"11484,99","0,4799479281","133,83"
351.651.151-60,"11770,86","0,7938863662","126,00"
735.684.836-88,"10969,65","0,1172874727","112,18"
237.527.528-40,"11971,44","0,8754353907","109,77"
552.167.528-03,"10469,55","0,9739058014","152,13"
488.624.100-00,"10860,19","0,7507408895","187,79"
423.353.842-28,"11987,50","0,399203537","192,10"
402.786.800-54,"11575,35","0,5253708273","176,88"
578.254.250-06,"11001,81","0,05758079604","166,52"
807.842.212-19,"11547,70","0,1587001306","134,42"
244.513.168-55,"10465,32","0,3727464324","174,55"
824.473.730-15,"10019,32","0,2884365832","134,52"
214.718.603-10,"11061,33","0,6136355342","160,42"
350.872.076-42,"10022,08","0,2845734793","155,77"
724.801.065-00,"10125,12","0,4967005648","126,81"
544.613.211-42,"11731,86","0,2831852065","196,15"
608.682.658-70,"11810,71","0,6633240684","150,87"
702.885.070-61,"10278,25","0,7627415549","180,88"
027.710.141-73,"10539,73","0,06313206147","103,25"
415.471.541-01,"11724,31","0,1893041597","170,08"
240.474.003-27,"10578,83","0,502231681","104,49"
583.133.106-77,"11805,87","0,5293115269","198,73"
827.003.570-00,"11348,80","0,4086448699","112,00"
071.033.171-19,"10682,45","0,4325079309","147,83"
782.235.388-81,"10399,39","0,1248721611","163,30"
725.661.258-30,"11233,00","0,5614033152","199,94"
847.886.163-78,"11047,78","0,7996414038","107,28"
668.378.307-16,"10940,38","0,5915682276","134,07"
421.711.240-83,"10663,95","0,6481340389","111,56"
831.201.411-00,"10041,29","0,5487944515","163,62"
633.005.437-11,"10214,64","0,05362989814","119,03"
234.673.630-91,"11047,51","0,3700427893","180,59"
770.708.102-10,"10700,56","0,6554812547","144,77"
422.458.348-87,"10923,85","0,3761283129","191,07"
866.606.142-14,"11822,31","0,3111598856","112,41"
816.726.322-34,"11876,21","0,9918633753","178,65"
024.733.605-02,"10903,46","0,1269777504","159,59"
321.166.574-90,"11875,02","0,8261159476","118,83"
034.125.282-42,"10630,66","0,7567562022","129,30"
611.688.633-76,"11516,11","0,6777966218","158,27"
403.423.241-28,"10416,43","0,894619792","169,79"
138.787.607-44,"11680,75","0,2276397629","126,90"
866.227.527-37,"11559,80","0,5022607936","101,72"
411.428.456-72,"11562,53","0,9388917422","141,25"
432.843.117-00,"10311,72","0,3681236925","167,26"
502.280.346-12,"11121,38","0,8673923695","195,08"
555.412.568-95,"11417,41","0,2922808237","142,58"
318.340.332-33,"11830,53","0,7833813967","195,14"
100.330.121-56,"10708,43","0,6132305492","189,48"
184.774.101-00,"10903,37","0,8596618529","150,24"
187.056.850-87,"11385,93","0,1689808635","113,03"
731.426.004-42,"10011,95","0,575103324","139,62"
656.510.781-50,"11338,83","0,7327540318","125,34"
480.284.545-69,"10104,30","0,8260999844","190,21"
233.256.464-09,"11271,02","0,742245423","137,89"
116.058.423-03,"11342,17","0,204361792","163,92"
185.157.422-09,"11697,69","0,9000109648","189,60"
848.218.457-17,"11745,41","0,1757875937","166,47"
712.477.442-05,"10671,21","0,2512778236","190,51"
858.782.304-37,"10954,16","0,4362498381","123,99"
674.464.462-93,"11099,71","0,3249387893","122,98"
870.117.115-11,"10998,54","0,9956371545","156,99"
178.570.463-02,"10949,01","0,1749899038","196,53"
572.551.323-83,"10271,65","0,7868044502","101,65"
375.277.764-80,"10721,45","0,8951177253","129,74"
053.431.138-50,"10489,56","0,5621495438","162,85"
580.521.837-23,"11167,13","0,7510764876","112,88"
671.602.846-31,"10529,19","0,04396847989","124,37"
181.888.038-55,"11019,21","0,2270799441","147,45"
374.160.883-13,"10177,74","0,2677681111","118,23"
726.570.317-06,"10999,29","0,3974574219","122,08"
853.206.124-94,"11306,00","0,5981850979","164,05"
062.182.386-44,"10790,77","0,3877018052","154,55"
475.728.035-12,"9999999,00",n/a,"111,60"
378.433.842-94,"9999999,00",n/a,"145,21"
262.715.552-09,"9999999,00",n/a,"155,80"
303.050.337-27,"9999999,00",n/a,"160,87"
661.566.404-60,"9999999,00",n/a,"178,14"
146.817.606-41,"9999999,00",n/a,"117,16"
165.014.011-86,"9999999,00",n/a,"103,68"
575.180.134-28,"9999999,00",n/a,"193,00"
285.685.018-93,"9999999,00",n/a,"138,15"
782.131.478-12,"9999999,00",n/a,"186,81"
717.101.838-53,"9999999,00",n/a,"169,44"
171.860.523-47,"0,00",n/a,"182,34"
157.835.708-00,"0,00",n/a,"124,24"
544.501.374-00,"0,00",n/a,"101,77"
373.223.531-96,"0,00",n/a,"172,19"
378.713.811-05,"0,00",n/a,"186,83"
004.454.626-20,"0,00",n/a,"161,47"
786.805.660-63,"0,00",n/a,"112,35"
815.267.611-06,"0,00",n/a,"162,44"
813.232.850-75,"0,00",n/a,"129,17"
507.361.500-05,"0,00",n/a,"138,83"
364.188.274-57,"0,00",n/a,"182,74"
541.545.102-15,"0,00",n/a,"172,20"
433.722.730-01,"0,00",n/a,"114,13"
360.743.547-23,"0,00",n/a,"137,77"
888.387.224-04,"0,00",n/a,"128,52"
073.627.510-01,"0,00",n/a,"184,37"
676.862.673-69,"0,00",n/a,"195,48"
867.563.344-09,"0,00",n/a,"164,30"
318.516.477-67,"0,00",n/a,"109,41"
563.462.446-04,"0,00",n/a,"109,16"
004.831.801-90,"0,00",n/a,"198,95"
351.376.383-23,"0,00",n/a,"164,63"
613.521.667-80,"0,00",n/a,"193,49"
353.738.556-00,"0,00",n/a,"103,30"
676.831.273-10,0,n/a,"171,96"
885.750.442-57,0,n/a,"191,31"
815.232.722-01,0,n/a,"174,97"
576.763.216-20,0,n/a,"118,45"
043.052.642-34,0,n/a,"123,18"
346.223.184-74,0,n/a,"126,78"
762.340.033-97,0,n/a,"171,45"
318.214.475-81,0,n/a,"119,18"
644.273.204-57,0,n/a,"135,08"
637.460.200-50,0,n/a,"164,00"
553.531.004-25,0,n/a,"148,48"
065.685.574-63,0,n/a,"168,36"
813.155.578-00,0,n/a,"181,58"
812.707.355-51,0,n/a,"190,55"
257.101.481-13,0,n/a,"119,47"
223.727.158-52,0,n/a,"137,59"
452.043.146-87,0,n/a,"159,34"
365.166.172-52,0,n/a,"121,40"
104.360.288-75,0,n/a,"147,12"
612.163.676-98,0,n/a,"164,10"
573.057.575-00,0,n/a,"145,90"
850.645.415-89,0,n/a,"178,30"
657.183.068-00,0,n/a,"128,92"
358.007.500-41,0,n/a,"141,70"
846.627.722-65,0,n/a,"131,18"
721.846.830-60,0,n/a,"119,19"
324.282.038-00,0,n/a,"183,67"
841.175.250-00,0,n/a,"103,34"
348.347.385-82,0,n/a,"129,36"
254.805.623-63,0,n/a,"179,74"
630.680.545-16,0,n/a,"168,81"
271.112.878-43,0,n/a,"0,00"
685.711.472-21,0,n/a,"0,00"
666.356.067-00,0,n/a,"0,00"
182.360.526-56,0,n/a,"0,00"
434.806.210-23,0,n/a,"0,00"
217.221.188-57,0,n/a,"0,00"
877.184.422-84,0,n/a,"0,00"
051.066.283-85,0,n/a,"0,00"
045.085.547-33,0,n/a,"0,00"
143.771.846-95,0,n/a,"0,00"
708.280.158-05,0,n/a,"0,00"
565.502.686-48,0,n/a,"0,00"
682.417.024-00,0,n/a,"0,00"
781.053.685-01,0,n/a,"0,00"
302.823.441-60,0,n/a,"0,00"
045.486.143-54,0,n/a,"0,00"
470.523.054-02,0,n/a,"0,00"
163.455.164-81,0,n/a,"0,00"
514.710.017-25,0,n/a,"0,00"
287.486.871-03,0,n/a,"0,00"
447.087.766-24,0,n/a,"0,00"
430.585.527-50,0,n/a,"0,00"
122.048.138-69,0,n/a,"0,00"
650.224.653-29,0,n/a,"0,00"
753.616.535-86,0,n/a,"0,00"
070.461.114-72,0,n/a,"0,00"
686.544.867-75,0,n/a,"0,00"
143.644.826-33,0,n/a,"0,00"
224.357.426-81,0,n/a,"0,00"
308.258.406-35,0,n/a,"0,00"
632.307.330-70,0,n/a,"0,00"
554.482.321-91,0,n/a,"0,00"
674.850.102-47,0,n/a,"0,00"
052.563.218-20,0,n/a,"0,00"
767.075.145-20,0,n/a,"0,00"
233.380.287-17,0,n/a,"0,00"
363.383.865-19,0,n/a,"0,00"
252.006.143-09,0,n/a,"0,00"
160.202.047-74,0,n/a,"0,00"
608.231.307-03,0,n/a,"0,00"
852.723.113-10,0,n/a,"0,00"
676.344.136-31,0,n/a,"0,00"
038.836.266-94,0,n/a,"0,00"
028.725.044-00,0,n/a,"0,00"
230.612.731-07,0,n/a,"0,00"
227.772.818-74,0,n/a,"0,00"
518.335.633-52,0,n/a,"0,00"
883.077.610-69,0,n/a,"0,00"
063.702.050-28,0,n/a,"0,00"
880.062.342-56,0,n/a,"0,00"
533.462.366-33,0,n/a,"0,00"
170.282.530-23,0,n/a,"0,00"
686.803.151-33,0,n/a,"0,00"
644.677.425-73,0,n/a,"0,00"
531.243.580-58,0,n/a,"0,00"
753.247.720-70,0,n/a,"0,00"
381.084.118-82,0,n/a,"0,00"
058.870.465-20,0,n/a,"0,00"
684.546.587-85,0,n/a,"0,00"
557.322.531-65,0,n/a,"0,00"
208.035.322-53,0,n/a,"0,00"
853.716.448-81,0,n/a,"0,00"
781.364.314-34,0,n/a,"0,00"
722.483.225-18,0,n/a,"0,00"
104.627.228-48,0,n/a,"0,00"
475.251.606-35,0,n/a,"0,00"
552.860.156-89,0,n/a,"0,00"
631.508.600-40,0,n/a,"0,00"
720.160.873-82,0,n/a,"0,00"
506.676.840-85,0,n/a,"0,00"
714.575.715-01,0,n/a,"0,00"
561.356.548-10,0,n/a,"0,00"
853.235.204-93,0,n/a,"0,00"
002.767.874-12,0,n/a,"0,00"
608.381.161-91,0,n/a,"0,00"
512.722.742-84,0,n/a,"0,00"
770.773.172-77,0,n/a,"0,00"
601.360.833-40,0,n/a,"0,00"
380.834.548-93,0,n/a,"0,00"
447.701.561-54,0,n/a,"0,00"
160.567.222-01,0,n/a,"0,00"
282.630.527-18,0,n/a,"0,00"
871.865.585-85,0,n/a,"0,00"
776.654.141-68,0,n/a,"0,00"
283.063.581-71,0,n/a,"0,00"
647.487.744-87,0,n/a,"0,00"
616.275.554-12,0,n/a,"0,00"
068.813.367-30,0,n/a,"0,00"
001.161.888-47,0,n/a,"0,00"
224.006.054-91,0,n/a,"0,00"
441.586.186-57,0,n/a,"0,00"
737.130.754-25,0,n/a,"0,00"
601.215.708-86,0,n/a,"0,00"
267.203.847-32,0,n/a,"0,00"
575.654.485-24,0,n/a,"0,00"
887.344.776-75,0,n/a,"0,00"
755.032.807-25,0,n/a,"0,00"
613.430.843-93,n/a,n/a,"0,00"
721.825.831-06,n/a,n/a,"0,00"
278.722.232-36,n/a,n/a,"0,00"
322.701.470-06,n/a,n/a,"0,00"
327.654.814-31,n/a,n/a,"0,00"
166.258.462-87,n/a,n/a,"0,00"
564.144.361-19,n/a,n/a,"0,00"
154.227.146-01,n/a,n/a,"0,00"
685.562.654-80,n/a,n/a,"0,00"
188.315.677-72,n/a,n/a,"0,00"
158.484.107-98,n/a,n/a,"0,00"
746.847.717-50,n/a,n/a,"0,00"
243.013.734-89,n/a,n/a,"0,00"
172.138.551-74,n/a,n/a,"0,00"
188.663.433-58,n/a,n/a,"0,00"
645.506.485-20,n/a,n/a,"0,00"
462.077.747-10,n/a,n/a,"0,00"
347.638.647-34,n/a,n/a,"0,00"
504.668.425-03,n/a,n/a,"0,00"
800.417.804-93,n/a,n/a,"0,00"
746.463.002-57,n/a,n/a,"0,00"
667.044.622-52,n/a,n/a,"0,00"
030.471.675-83,n/a,n/a,"0,00"
885.683.557-65,n/a,n/a,"0,00"
607.261.821-92,n/a,n/a,"0,00"
155.608.128-62,n/a,n/a,"0,00"
082.001.885-66,n/a,n/a,"0,00"
277.853.480-65,n/a,n/a,"0,00"
603.174.571-28,n/a,n/a,"0,00"
178.305.340-20,n/a,n/a,"0,00"
121.681.764-26,n/a,n/a,"0,00"
632.804.050-41,n/a,n/a,"0,00"
550.675.467-19,n/a,n/a,"0,00"
066.322.444-67,n/a,n/a,"0,00"
760.830.183-07,n/a,n/a,"0,00"
034.365.447-44,n/a,n/a,"0,00"
016.681.108-49,n/a,n/a,"0,00"
034.488.412-00,n/a,n/a,"0,00"
410.883.707-05,n/a,n/a,"0,00"
832.706.802-44,n/a,n/a,"0,00"
078.000.276-86,n/a,n/a,"0,00"
455.078.372-95,n/a,n/a,"0,00"
431.712.038-04,n/a,n/a,"0,00"
607.140.182-87,n/a,n/a,"0,00"
780.665.345-74,n/a,n/a,"0,00"
342.676.335-41,n/a,n/a,"0,00"
433.831.382-08,n/a,n/a,"0,00"
070.371.521-61,n/a,n/a,"0,00"
158.463.380-89,n/a,n/a,"0,00"
057.186.148-22,n/a,n/a,"0,00"
000.558.266-01,n/a,n/a,"0,00"
731.113.617-21,n/a,n/a,"0,00"
402.036.452-43,n/a,n/a,"0,00"
562.742.821-06,n/a,n/a,"0,00"
431.146.683-80,n/a,n/a,"0,00"
020.537.440-90,n/a,n/a,"0,00"
162.561.404-78,n/a,n/a,"0,00"
271.684.455-02,n/a,n/a,"0,00"
587.213.641-25,n/a,n/a,"0,00"
037.152.472-58,n/a,n/a,"0,00"
135.551.355-38,n/a,n/a,"0,00"
234.242.186-93,n/a,n/a,"0,00"
337.461.632-18,n/a,n/a,"0,00"
727.202.088-17,n/a,n/a,"0,00"
156.200.477-84,n/a,n/a,"0,00"
576.658.613-26,n/a,n/a,"0,00"
578.744.258-04,n/a,n/a,"0,00"
768.170.586-43,n/a,n/a,"0,00"
360.562.351-49,n/a,n/a,"0,00"
484.215.862-03,n/a,n/a,"0,00"
572.626.570-03,n/a,n/a,"0,00"
681.405.030-70,n/a,n/a,"0,00"
800.727.306-92,n/a,n/a,"0,00"
051.727.368-32,n/a,n/a,"0,00"
138.206.440-32,n/a,n/a,"0,00"
243.324.465-00,n/a,n/a,"0,00"
277.520.825-89,n/a,n/a,"0,00"
345.252.080-31,n/a,n/a,"0,00"
413.832.306-68,n/a,n/a,"0,00"
673.147.105-46,n/a,n/a,"0,00"
618.487.524-82,n/a,n/a,"0,00"
621.302.581-23,n/a,n/a,"0,00"
666.470.671-75,n/a,n/a,"0,00"
185.586.812-10,n/a,n/a,"0,00"
717.527.717-29,n/a,n/a,"0,00"
340.267.668-02,n/a,n/a,"0,00"
221.883.682-31,n/a,n/a,"0,00"
642.583.820-51,n/a,n/a,"0,00"
358.577.880-13,n/a,n/a,"0,00"
748.120.265-63,n/a,n/a,"0,00"
810.621.032-46,n/a,n/a,"0,00"
727.333.070-10,n/a,n/a,"0,00"
078.752.806-48,n/a,n/a,"0,00"
665.388.427-98,n/a,n/a,"0,00"
352.844.081-36,n/a,n/a,"0,00"
564.245.786-17,n/a,n/a,"0,00"
556.050.855-14,n/a,n/a,"0,00"
416.187.120-12,n/a,n/a,"0,00"
226.723.546-34,n/a,n/a,"0,00"
531.160.562-69,n/a,n/a,"0,00"
633.073.834-34,n/a,n/a,"0,00"
503.021.511-50,n/a,n/a,"0,00"
852.301.414-41,n/a,n/a,"0,00"
822.506.041-50,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
n/a,n/a,n/a,"0,00"
